kontostand,dauer,kredithistorie,zweck,kreditbetrag,ersparnisse,beschaeftigt_seit,rate_vs_einkommen,geschlecht,mitschuldner,meldeadresse_seit,vermoegen,alter,verpflichtungen,wohnung,bestehende_kredite,job,unterhaltspflichtig,telefon,ergebnis,status
im Dispo,6,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1169,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,67,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,5951,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,2,unbekannt / kein Vermoegen,22,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,2096,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,3,unbekannt / kein Vermoegen,49,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
im Dispo,42,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,7882,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,Buerge,4,Immobilien,45,keine,kostenlos,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,24,Bestehender Kredit wird puenktlich bedient,Neuwagen,4870,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,4,unbekannt / kein Vermoegen,53,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,9055,unbekannt / kein Konto,zwischen 1 und 4 Jahren,2,maennlich,keine,4,unbekannt / kein Vermoegen,35,keine,kostenlos,1,ungelernt / angestellt,2,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2835,zwischen 500 und 1.000,laenger als 7 Jahre,3,maennlich,keine,4,Immobilien,53,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,6948,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,35,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3059,ueber 1.000,zwischen 4 und 7 Jahren,2,maennlich,keine,4,unbekannt / kein Vermoegen,61,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,geschieden / getrennt
unter 200 DM,30,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,5234,weniger als 100,arbeitslos,4,maennlich,keine,2,Auto,28,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,nein,2,verheiratet / verwitwet
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1295,weniger als 100,weniger als 1 Jahr,3,weiblich,keine,1,Auto,25,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,4308,weniger als 100,weniger als 1 Jahr,3,weiblich,keine,4,Immobilien,24,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1567,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,1,Auto,22,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1199,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Auto,60,keine,Eigentum,2,ungelernt / angestellt,1,nein,2,single
im Dispo,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1403,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,4,Auto,28,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1282,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,weiblich,keine,2,Auto,32,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2424,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,53,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,30,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,8072,unbekannt / kein Konto,weniger als 1 Jahr,2,maennlich,keine,3,Auto,25,Bank,Eigentum,3,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,12579,weniger als 100,laenger als 7 Jahre,4,weiblich,keine,2,unbekannt / kein Vermoegen,44,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3430,zwischen 500 und 1.000,laenger als 7 Jahre,3,maennlich,keine,2,Auto,31,keine,Eigentum,1,Facharbeiter / Beamter,2,ja,1,single
Kein Konto,9,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2134,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,Auto,48,keine,Eigentum,3,Facharbeiter / Beamter,1,ja,1,single
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2647,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,2,maennlich,keine,3,unbekannt / kein Vermoegen,44,keine,Miete,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,10,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2241,weniger als 100,weniger als 1 Jahr,1,maennlich,keine,3,unbekannt / kein Vermoegen,48,keine,Miete,2,ungelernt / angestellt,2,nein,1,single
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,1804,zwischen 100 und 500,weniger als 1 Jahr,3,maennlich,keine,4,Immobilien,44,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,10,Kritisches Konto / Kredite bei anderer Bank,Moebel,2069,unbekannt / kein Konto,zwischen 1 und 4 Jahren,2,maennlich,keine,1,Auto,26,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1374,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,2,unbekannt / kein Vermoegen,36,Bank,Eigentum,1,ungelernt / angestellt,1,ja,1,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,426,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Auto,39,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
mehr als 200 DM,12,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,409,ueber 1.000,zwischen 1 und 4 Jahren,3,weiblich,keine,3,unbekannt / kein Vermoegen,42,keine,Miete,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,7,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2415,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,Buerge,2,unbekannt / kein Vermoegen,34,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,60,Bestehender Kredit wird puenktlich bedient,Geschaeft,6836,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,63,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,2,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1913,ueber 1.000,weniger als 1 Jahr,3,maennlich,keine,3,unbekannt / kein Vermoegen,36,Bank,Eigentum,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,4020,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,27,Laden,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,5866,zwischen 100 und 500,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,30,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
